codigo_modelo,nome_amigavel
I/H.DAVIDSON FLHTCUSE7,
I/H.DAVIDSON FLHTCUTG,Tri Glide Ultra
I/H.DAVIDSON FLHTK,Ultra Limited
I/H.DAVIDSON FLHTKSE,
I/H.DAVIDSON FLHX,Street Glide
I/H.DAVIDSON FLHXSE,CVO Street Glide
I/H.DAVIDSON FLSTC,Heritage Softail Classic
I/H.DAVIDSON FLSTC HSC,
I/H.DAVIDSON FLSTF,Fat Boy
I/H.DAVIDSON FLSTFB,Fat Boy Lo
I/H.DAVIDSON FLSTFSE,
I/H.DAVIDSON FLSTN,Softail Deluxe
I/H.DAVIDSON FLSTSE,
I/H.DAVIDSON FLTCU,
I/H.DAVIDSON FXCWC,
I/H.DAVIDSON FXCWC ROCKE,
I/H.DAVIDSON FXD,Dyna Super Glide
I/H.DAVIDSON FXD WG Z,
I/H.DAVIDSON FXD XZ,
I/H.DAVIDSON FXD Z,
I/H.DAVIDSON FXDB DGLIDE,Street Bob
I/H.DAVIDSON FXDC,Super Glide Custom
I/H.DAVIDSON FXDF,Fat Bob
I/H.DAVIDSON FXDWG,Dyna Wide Glide
I/H.DAVIDSON FXE,
I/H.DAVIDSON FXRS,
I/H.DAVIDSON FXS,
I/H.DAVIDSON FXSBSE,
I/H.DAVIDSON FXST,
I/H.DAVIDSON FXSTB,
I/H.DAVIDSON FXSTC,
I/H.DAVIDSON FXSTS SS,Springer Softail
I/H.DAVIDSON FXSTSB BB,
I/H.DAVIDSON FXSTSSE2,
I/H.DAVIDSON IRON 883,Iron 883
I/H.DAVIDSON IRON1000,
I/H.DAVIDSON LOW RD SPOR,
I/H.DAVIDSON MRE CGPI,
I/H.DAVIDSON RKING CLASS,
I/H.DAVIDSON RKING POLIC,
I/H.DAVIDSON SOFTAIL,
I/H.DAVIDSON SPORTSTER,
I/H.DAVIDSON SPORTSTERFE,
I/H.DAVIDSON SPRING SOFT,
I/H.DAVIDSON TOPPER SCOOT,
I/H.DAVIDSON TRIGLIDE UC,Tri Glide Ultra
I/H.DAVIDSON ULH BIGTWIN,
I/H.DAVIDSON VRSC V-ROD,
I/H.DAVIDSON VRSCA,
I/H.DAVIDSON VRSCAW,V-Rod
I/H.DAVIDSON VRSCAWA,
I/H.DAVIDSON VRSCB,
I/H.DAVIDSON VRSCD,
I/H.DAVIDSON VRSCDX,Night Rod Special
I/H.DAVIDSON VRSCDX ANV,
I/H.DAVIDSON VRSCDXA,
I/H.DAVIDSON VRSCF,V-Rod Muscle
I/H.DAVIDSON VRSCR,
I/H.DAVIDSON VRSCSE,
I/H.DAVIDSON VRSCX,
I/H.DAVIDSON VTP,
I/H.DAVIDSON X90,
I/H.DAVIDSON XG750,Street 750
I/H.DAVIDSON XL 1200 C,
I/H.DAVIDSON XL 1200C,
I/H.DAVIDSON XL 883,
I/H.DAVIDSON XL 883 C,Sportster 883 Custom
I/H.DAVIDSON XL 883L,
I/H.DAVIDSON XL 883R,Sportster 883 Roadster
I/H.DAVIDSON XL1200 X,
I/H.DAVIDSON XL1200N,
I/H.DAVIDSON XL883C,
I/H.DAVIDSON XL883L,
I/H.DAVIDSON XL883N,Iron 883
I/H.DAVIDSON XLH 1000,
I/H.DAVIDSON XLH 883,
I/H.DAVIDSON XLH 883 C,
I/H.DAVIDSON XR 1200X,
I/HARLEY DAVIDSON,
I/HARLEY DAVIDSON EL,
I/HARLEY DAVIDSON FLATH,
I/HARLEY DAVIDSON FLHTP,
I/HARLEY DAVIDSON FLSTF,Fat Boy
I/HARLEY DAVIDSON FXRT,
I/HARLEY DAVIDSON FXSTS,Springer Softail
I/HARLEY DAVIDSON JD,
I/HARLEY DAVIDSON KUHEAD,
I/HARLEY DAVIDSON PAHEAD,
I/HARLEY DAVIDSON POLICE,
I/HARLEY DAVIDSON RA1250,Pan America 1250
I/HARLEY DAVIDSON RH1250,Sportster S
I/HARLEY DAVIDSON SCAR,
I/HARLEY DAVIDSON SHHEAD,
I/HARLEY DAVIDSON SS175,
I/HARLEY DAVIDSON TG ULT,Tri Glide Ultra
I/HARLEY DAVIDSON WL 750,
I/HARLEY DAVIDSON WLA,
I/HARLEY DAVIDSON X90,
I/HARLEY DAVIDSON XL1000,
I/HARLEY DAVIDSON XL1200,
I/HARLEY-DAVIDSON FXSB,Breakout
I/HARLEY-DAVIDSON FXSTS,Springer Softail
IMP/H DAVIDSON FLSTS HS,
IMP/H.DAVIDSON,
IMP/H.DAVIDSON FLHR EGRK,
IMP/H.DAVIDSON FLHRCI,
IMP/H.DAVIDSON FLHT EG,
IMP/H.DAVIDSON FLHTCU UG,
IMP/H.DAVIDSON FLSTF FB,Fat Boy Lo
IMP/H.DAVIDSON FLSTN HSS,
IMP/H.DAVIDSON FXD DSG,
IMP/H.DAVIDSON FXDL DR,
IMP/H.DAVIDSON FXDS DRC,
IMP/H.DAVIDSON FXDWG DWG,
IMP/H.DAVIDSON FXSTC SC,
IMP/H.DAVIDSON FXSTS SS,
IMP/H.DAVIDSON FXSTSB BB,
IMP/H.DAVIDSON XL 1200 S,
IMP/H.DAVIDSON XLH 1200,
IMP/H.DAVIDSON XLH 1200S,
IMP/H.DAVIDSON XLH S883,
IMP/H.DAVIDSON XLH S883H,
